X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat,CAISO_Name
-13480213.81,4698044.07,156,PG&E,,CEC,SUBSTATION,306130,Newcastle,115,95658,CA,Placer County,Unincorporated,-121.094821,38.83485899,
-13445595.41,4683198.088,157,PG&E,,CEC,SUBSTATION,304255,Placerville,115,95667,CA,El Dorado County,Placerville,-120.7838386,38.73089864,Placerville
-13463784.96,4672985.727,158,PG&E,,CEC,SUBSTATION,306505,Shingle Springs,,95682,CA,El Dorado County,Unincorporated,-120.9472381,38.65929769,
-13476286.76,4672475.412,159,PG&E,,CEC,SUBSTATION,303839,Clarksville,,95762,CA,El Dorado County,Unincorporated,-121.0595437,38.65571788,
-12766172.34,3976722.203,160,Other,,CEC,SUBSTATION,304454,Blythe Walc,161,92225,CA,Riverside County,Blythe,-114.6804774,33.61125837,
-13400857.87,4700249.333,161,SMUD,,CEC,SUBSTATION,307578,Jones Fork,,51,CA,El Dorado County,Unincorporated,-120.3819544,38.85028861,
-13427280.28,4692117.758,162,PG&E,SMUD,CEC,SUBSTATION,308707,Camino,,95726,CA,El Dorado County,Unincorporated,-120.619311,38.79337762,
-13407636.89,4702128.219,163,SMUD,SMUD,CEC,SUBSTATION,300800,Union Valley,230,51,CA,El Dorado County,Unincorporated,-120.4428515,38.86343203,
-13311789.79,4375286.705,164,Other,,CEC,SUBSTATION,309725,Guardian and Eastbank,115,93631,CA,Fresno County,Kingsburg,-119.5818423,36.54076139,
-13324592.89,4405391.384,165,Other,,CEC,SUBSTATION,308967,Las Palmas,115,93727,CA,Fresno County,Unincorporated,-119.6968545,36.75773233,
-13352445.6,4344668.389,166,Other,,CEC,SUBSTATION,300523,Mussel Slough,60,93245,CA,Kings County,Unincorporated,-119.9470597,36.31946224,
-13436466.12,4399468.53,168,PG&E,15,CEC,SUBSTATION,306180,Oxford,500,93640,CA,Fresno County,Unincorporated,-120.7018288,36.71509335,
-13400803.26,4331565.942,169,Other,,CEC,SUBSTATION,310397,Penn Zier,60,93210,CA,Fresno County,Unincorporated,-120.3814639,36.22456945,
-13331008.73,4397451.539,170,PG&E,,CEC,SUBSTATION,304977,Ranchers Cotton,115,93725,CA,Fresno County,Unincorporated,-119.754489,36.70056751,
-13333163.21,4425575.36,171,PG&E,,CEC,SUBSTATION,304800,River Rock,60,93730,CA,Fresno County,Unincorporated,-119.773843,36.90286001,
-13397887.56,4327113.249,172,Other,,CEC,SUBSTATION,303884,Tornado,60,93210,CA,Fresno County,Unincorporated,-120.3552717,36.19229514,
-13396444.92,4387993.635,173,PG&E,,CEC,SUBSTATION,302217,Westlands,60,93668,CA,Fresno County,Unincorporated,-120.3423122,36.63241754,
-13412358.14,4373529.041,174,Other,,CEC,SUBSTATION,310526,Kamm,,93640,CA,Fresno County,Unincorporated,-120.4852632,36.52807464,
-13369450.99,4385951.64,175,Other,,CEC,SUBSTATION,302267,Agrico,60,93630,CA,Fresno County,Unincorporated,-120.0998217,36.6176958,
-13328829.3,4406296.017,176,PG&E,,CEC,SUBSTATION,304283,Barton,115,93727,CA,Fresno County,Fresno,-119.7349108,36.76424276,
-13371045.64,4410256.638,177,PG&E,,CEC,SUBSTATION,303612,Biola,70,93630,CA,Fresno County,Unincorporated,-120.1141466,36.79273987,
-13332565.75,4414585.879,178,PG&E,,CEC,SUBSTATION,305986,Bullard,115,93710,CA,Fresno County,Fresno,-119.7684759,36.82387712,
-13371928.22,4339771.186,179,Other,,CEC,SUBSTATION,306230,Calflax,60,93234,CA,Fresno County,Unincorporated,-120.122075,36.28400837,
-13335959.96,4362163.178,180,PG&E,,CEC,SUBSTATION,300661,Camden,60,93656,CA,Fresno County,Unincorporated,-119.7989666,36.44598609,
-13396371.84,4359856.193,181,PG&E,,CEC,SUBSTATION,303854,Cantua,115,93210,CA,Fresno County,Unincorporated,-120.3416558,36.42931356,Cantua
-13408383.33,4416284.785,182,PG&E,,CEC,SUBSTATION,304454,Capco Madera,60,93622,CA,Fresno County,Firebaugh,-120.4495568,36.83609272,
-13345144.13,4374096.319,183,PG&E,,CEC,SUBSTATION,309247,Caruthers,,93609,CA,Fresno County,Unincorporated,-119.8814695,36.53216946,
-13417560.15,4388041.102,184,PG&E,,CEC,SUBSTATION,304203,Cheney,,93640,CA,Fresno County,Unincorporated,-120.5319935,36.63275972,Cheney
-13322856.23,4414908.654,185,PG&E,,CEC,SUBSTATION,305589,Clovis,115,93611,CA,Fresno County,Clovis,-119.6812538,36.82619811,
